task_category_code,group,label_pt,label_en,description_pt,verbs_pt,verbs_en,verbs_es,notes
driving,mobility,Dirigir,Driving,Operar veículo,dar partida|engatar|acelerar|frear|estacionar|sinalizar|manobrar|abastecer,start|shift gear|accelerate|brake|park|signal|maneuver|refuel,arrancar|cambiar marcha|acelerar|frenar|estacionar|señalizar|maniobrar|repostar,
gardening,outdoor_work,Jardinagem,Gardening,"Cultivo, paisagismo, horta externa",cavar|plantar|regar|podar|adubar|colher|remover ervas daninhas|cortar grama,dig|plant|water|prune|fertilize|harvest|weed|mow,cavar|plantar|regar|podar|abonar|cosechar|desherbar|cortar césped,
studying,productive,Estudo,Studying,"Leitura, anotações, exercícios",ler|anotar|grifar|resolver exercícios|resumir|revisar|memorizar,read|take notes|highlight|solve exercises|summarize|review|memorize,leer|anotar|subrayar|resolver ejercicios|resumir|revisar|memorizar,
working_desk,productive,Trabalho de Escritório,Desk Work,"Computador, leitura, escrita, reunião",digitar|ler|escrever|revisar|reunir|apresentar|responder email|planejar,type|read|write|review|meet|present|reply email|plan,teclear|leer|escribir|revisar|reunir|presentar|responder email|planificar,
exercise,recreation,Exercício Físico,Exercise,"Musculação, cardio, alongamento",aquecer|alongar|correr|pedalar|levantar peso|agachar|respirar|desaquecer,warm up|stretch|run|cycle|lift weights|squat|breathe|cool down,calentar|estirar|correr|pedalear|levantar pesas|sentadillas|respirar|enfriar,
leisure,recreation,Lazer,Leisure,"TV, jogos, relaxamento",assistir|jogar|ler|relaxar|ouvir|navegar,watch|play|read|relax|listen|browse,ver|jugar|leer|relajarse|escuchar|navegar,
music_practice,recreation,Prática Musical,Music Practice,"Tocar instrumento, cantar",afinar|aquecer|tocar|cantar|gravar|repetir trecho|improvisar|ler partitura,tune|warm up|play|sing|record|repeat passage|improvise|read sheet music,afinar|calentar|tocar|cantar|grabar|repetir pasaje|improvisar|leer partitura,
sports,recreation,Prática Esportiva,Sports,"Esportes específicos (futebol, tênis, etc.)",aquecer|correr|chutar|rebater|passar|defender|pontuar|descansar,warm up|run|kick|hit|pass|defend|score|rest,calentar|correr|patear|batear|pasar|defender|anotar|descansar,
grooming,self_care,Higiene e Arrumação,Grooming,"Pentear, barbear, cortar unhas",pentear|escovar cabelo|barbear|depilar|cortar unhas|limar|aplicar produto,comb|brush hair|shave|wax|trim nails|file|apply product,peinar|cepillar cabello|afeitar|depilar|cortar uñas|limar|aplicar producto,
health_care,self_care,Cuidado com Saúde,Health Care,"Tomar medicamento, aferir pressão, curativo",medir pressão|medir glicemia|tomar medicamento|aplicar curativo|aplicar pomada|medir temperatura|registrar sintoma,measure blood pressure|measure blood sugar|take medication|apply bandage|apply ointment|measure temperature|log symptom,medir presión|medir glucosa|tomar medicamento|aplicar vendaje|aplicar pomada|medir temperatura|registrar síntoma,
personal_care,self_care,Cuidado Pessoal,Personal Care,"Banho, escovar dentes, maquiagem, vestir-se",tomar banho|escovar dentes|passar fio dental|lavar rosto|hidratar pele|vestir-se|maquiar-se,shower|brush teeth|floss|wash face|moisturize|dress|apply makeup,ducharse|cepillar dientes|usar hilo dental|lavarse la cara|hidratar piel|vestirse|maquillarse,
communication,social,Comunicação,Communication,"Conversar, telefonar, videochamada",ligar|atender|mensagear|videochamar|escutar|responder,call|answer|message|video call|listen|reply,llamar|contestar|mensajear|videollamar|escuchar|responder,
socializing,social,Socialização,Socializing,"Conversas em grupo, recepção de visitas",cumprimentar|conversar|receber|apresentar|escutar|debater|despedir-se,greet|chat|host|introduce|listen|discuss|say goodbye,saludar|conversar|recibir|presentar|escuchar|debatir|despedirse,
